"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",708.597861536998,0.38122715818733,0.100702283805294,3.78568532690307,0.00015328554531516,0.00128920007141929
"ENSG00000000971",5817.31081674539,-0.426424458656189,0.0888056168111059,-4.80177351352917,1.57266511329115e-06,2.06392265814164e-05
"ENSG00000001036",1282.10068817841,0.241043043740447,0.0889938363367889,2.70853638479234,0.00675807015396003,0.0334600551939065
"ENSG00000001167",369.340563608024,0.500318722774709,0.120567882322923,4.14968491720442,3.32933237557969e-05,0.000329678865439061
"ENSG00000001629",1779.81786317606,0.226647318850757,0.0809829675386443,2.79870355136842,0.00513082190450363,0.0267241422824984
"ENSG00000002834",7168.80172554647,-0.396667865383116,0.0934251770470413,-4.24583477303325,2.17781076159667e-05,0.00022660290624992
"ENSG00000002919",250.507676868456,-0.404421812082915,0.13958847421236,-2.89724358952198,0.00376457331041293,0.0205083945418024
"ENSG00000003096",377.975261226872,0.940944989627911,0.143511100975241,6.55660073146706,5.50481401273897e-11,1.38441849759706e-09
"ENSG00000003137",104.515194808615,0.897048629924109,0.291000941137734,3.08263137025225,0.00205179145069619,0.0123285249713275
"ENSG00000003402",2546.60932638954,-1.19046735925405,0.121018690344378,-9.8370537300179,7.79604652328918e-23,6.59992069990378e-21
"ENSG00000003987",25.5043393924387,-1.00486963616985,0.369399806894577,-2.72027656055767,0.00652273374134756,0.0324463268479942
"ENSG00000004059",1225.35049139531,-0.366615487685356,0.0885338961411389,-4.1409618650568,3.45852462581803e-05,0.000341179548275167
"ENSG00000004487",1237.79398066331,0.299477788098141,0.0879093167700873,3.40666722369572,0.00065761252320797,0.00465022314450436
"ENSG00000004700",1035.32737267248,-0.368616461224022,0.101875971985027,-3.61828656985182,0.000296559919836953,0.00231396299199478
"ENSG00000004799",914.370594679048,-2.6449559805897,0.628583021293501,-4.20780691013081,2.57861054232313e-05,0.000263441956369239
"ENSG00000004846",17.9989448799634,1.69756957289277,0.553486214942597,3.0670494170642,0.00216183114192436,0.0128909190314749
"ENSG00000004866",412.126309009694,0.562071058116775,0.13591205380969,4.13554973500593,3.54105909375592e-05,0.000348169066398805
"ENSG00000004975",991.980595876841,0.320025890606075,0.0977154647586884,3.27507924560754,0.00105632337662525,0.00700537812699764
"ENSG00000005007",2261.96310265218,-0.239272715833772,0.0832351460919568,-2.87465964881502,0.00404463232697206,0.0218185630455888
"ENSG00000005100",485.153455516323,-0.360901539107928,0.132027051446294,-2.73354236994935,0.00626570613287198,0.0314366201969804
"ENSG00000005249",298.0308955353,-0.607406606439762,0.180439609750755,-3.36625981002056,0.000761949062324655,0.00529663280333006
"ENSG00000005471",33.663699648536,1.12039769365302,0.354544565080374,3.16010398692483,0.00157712839710038,0.00983020368355132
"ENSG00000005812",1409.31667247605,-0.468899176027413,0.111723012070451,-4.19697936295998,2.70498571021208e-05,0.00027464134192874
"ENSG00000005884",1284.6557363646,-0.348587404372448,0.127394758270051,-2.73627745054873,0.00621386101650667,0.0312373409115272
"ENSG00000006025",160.283840153,0.949040576656624,0.178311859314215,5.32236375250991,1.02427495796656e-07,1.66844860361816e-06
"ENSG00000006062",196.877940922506,0.698214160003388,0.195757658690332,3.56672717008682,0.000361467467444159,0.00275136402404097
"ENSG00000006114",995.868720506853,0.513229982941406,0.0959446897698585,5.34922760365879,8.83303991048448e-08,1.44865563785374e-06
"ENSG00000006118",433.934493983582,0.502469508788767,0.119331108429324,4.21071684829245,2.54561643242724e-05,0.000260513935922406
"ENSG00000006283",62.959894863754,1.4658956835001,0.284586527492637,5.15096654931435,2.59147411942109e-07,3.9434144575022e-06
"ENSG00000006451",1095.51248055838,0.557671317142405,0.117605455212552,4.74188307110848,2.11740828547898e-06,2.70596075150652e-05
"ENSG00000006534",1142.48837260909,-0.449277004128669,0.117633009327493,-3.81931063990611,0.000133825146636644,0.00114475096971156
"ENSG00000006576",1070.41696178377,0.430152753617674,0.0969731152137194,4.43579390710156,9.17335793408757e-06,0.000103642851044779
"ENSG00000006607",877.938256158213,-0.597986577837222,0.115989670750939,-5.15551577968749,2.52933739712423e-07,3.86189770914006e-06
"ENSG00000006638",65.7528256356143,0.644329298552728,0.24050392744064,2.67908015228466,0.00738247198672991,0.0360956439437944
"ENSG00000006788",10.2534484705697,-3.2028458452184,0.898351882442648,-3.56524643384701,0.000363514463713584,0.00276461105427387
"ENSG00000006831",1093.97929799541,-0.242245224845269,0.0932263940804036,-2.59846181153745,0.00936424603336934,0.0435982660660253
"ENSG00000007237",427.004099591087,1.40472374111238,0.18986389308267,7.39858283902741,1.37645515239483e-13,4.87627491315983e-12
"ENSG00000007866",1619.47522334358,-0.595648098431066,0.0860380771581217,-6.92307543480287,4.41942274050924e-12,1.28533920736875e-10
"ENSG00000007944",339.641943576917,0.497605133886153,0.123714713700406,4.0221984839344,5.76574381206862e-05,0.000538414771720463
"ENSG00000008083",301.246461842996,-0.441578638384533,0.145763658641809,-3.02941516766976,0.00245027706865589,0.014322008460941
"ENSG00000008130",1664.46942469032,-0.77620845571194,0.124870046070747,-6.21613012997662,5.09565498818929e-10,1.16457352024118e-08
"ENSG00000008256",3716.56541790484,-1.18342021411582,0.103673185087335,-11.4149113207904,3.52263070243154e-30,4.81212703229133e-28
"ENSG00000008282",1964.62145950803,-0.279915174614437,0.106904598359737,-2.6183642136002,0.00883524471712349,0.0415863045521197
"ENSG00000008311",721.941418739337,-1.09573394386676,0.107983499167603,-10.1472350156578,3.4088456334638e-24,3.25229124140842e-22
